Tweet,Sentiment
"rt @davidgokhshtein: facebook or meta now will allow #crypto ads. 

probably nothing.",1
rt @ajenglish: facebook’s meta report says the belarusian kgb set up dozens of fake accounts to stir up a crisis on the border of belarus a…,1
@paultassi chris already said it won’t be meta,1
"rt @metabuff_doge: telegram https://t.co/ar6y60oi53

website https://t.co/wevlkvntnv

meta buff doge coin the next doge coin ..🚀🚀🚀🚀🔥🔥🔥🔥 htt…",1
"rt @gemsscope: 🚨exclusive mega #nftgiveaway 🚨

12x #nfts &amp; .05 eth to 1 lucky winner🏆

e @richgatorsnft
3x @meta_lordz
3x @weed_fighter
3x…",1
"rt @nftreleases_io: 🚨giveaway🚨

new listing on https://t.co/w1dwwjveim! secure a @meta_lordz whitelist spot. this promising project comes w…",1
@harrisbueller_ meta world peace sounding much smoother now,1
"rt @metaworld_game: ‼️our pre-sale is around the corner‼️

islanders! are ya'all ready? 🏝️
⏰this saturday, december 4, 2021 at 8:00 am (utc…",1
"@thtblkkidxo where cathy then takes a picture, makes an inspiring post on facebook (excuse me meta) saying chadwick… https://t.co/uqy8dmirlq",1
"rt @rosescottuk: $meta is now at over 15,000 holders with certik &amp; #techrate officially under-way! 🐶🚀😍

#certikaudit https://t.co/kkyn350bd…",1
@floki_meta great project……,1
rt @ericgarland: mark zuckerberg allows kyle rittenhouse back on facebook. https://t.co/eudj2dgvcw,1
@ big pikachu- can we get a set that's 100% meta cards too pls 🥲 https://t.co/fdwacuv7bb,1
"rt @davidgokhshtein: facebook or meta now will allow #crypto ads. 

probably nothing.",1
"rt @davidgokhshtein: facebook or meta now will allow #crypto ads. 

probably nothing.",1
rt @meta_metaverse: do not forget $meta is tradable on @uniswap. all holders big and small will gain from two percent redistribution tax pe…,1
"meow, meta https://t.co/q9gedjv3n8",1
rt @tomaszbolandia: @prof_freedom poland is fully open. all services &amp; businesses operate as normal. some restrictions still in place (mask…,1
rt @janicedean: hi @meta may want to look at this.,1
"rt @meta_lordz: greetings lordz army💫

only 8 days left for mint (pre-sale) 🔥 limited whitelist spots left💥

we are announcing #giveaway of…",1
"rt @metaworld_game: ‼️our pre-sale is around the corner‼️

islanders! are ya'all ready? 🏝️
⏰this saturday, december 4, 2021 at 8:00 am (utc…",1
"https://t.co/h7rd9vofpk

uk competition regulator orders meta to sell giphy | engadget

as rumored , the uk's compe… https://t.co/g1vnkvkqu6",1
"rt @forbes: .@sherylsandberg details meta's mission to help black-owned small businesses: ""women- and people of color-owned smbs are the ha…",1
"i refuse to call facebook, ""meta."" don't be acting like i'm deadnaming your nazi enabling, mlm platform of a company.",1
the social media giant is expanding the number of regulatory licenses it accepts from 3 to 27 after updating its cr… https://t.co/rvq5apwkad,1
remember when grandmas and great aunts used to be like “y’all always on that phone” now look at them all on meta every hour,1
"rt @metaworld_game: ‼️our pre-sale is around the corner‼️

islanders! are ya'all ready? 🏝️
⏰this saturday, december 4, 2021 at 8:00 am (utc…",1
rt @shayan86: facebook owner meta platforms has removed more than 500 fake accounts linked to a network primarily based in china that promo…,1
"rt @spacerunnersnft: sr is on 🔥 
and the best part is, we're just getting started!

thanks for making us proud @meta @kylekuzma @d_dotson1…",1
rt @estebiza: dying covid-19 patient recovers after court orders hospital to administer ivermectin https://t.co/f3uinccsfs @scientificecon,1
"rt @davidgokhshtein: facebook or meta now will allow #crypto ads. 

probably nothing.",1
"rt @metafifagames: 🔥 meta fifa token presale is live🚀
🔥1bnb=12000 mtf, after listing 1bnb=1200mtf🚀🚀 
🔥27,000,000 mtf for sale 🚀
🔥get 75% bo…",1
"rt @rosescottuk: $meta is now at over 15,000 holders with certik &amp; #techrate officially under-way! 🐶🚀😍

#certikaudit https://t.co/kkyn350bd…",1
rt @caffeine_addict: whoohoo. who believed thd pm and got two shots for summer and  rhythm and  vines??? https://t.co/hs9v4rcfey,1
"rt @tat_loo: remember no one promised the jab is 100% effective!

(actually after four months fully jabbed it's barely 50% protective lol)…",1
did i just make having a christmas hat pfp the meta or what,1
rt @meghbulletin: meta removes 500 'fake' facebook accounts operated by china-based network pushing covid misinformation,1
"rt @davidgokhshtein: facebook or meta now will allow #crypto ads. 

probably nothing.",1
"rt @3bodyproblem: the metaverse – besides meta and the hype 

#vr #ar #metaverse @shi4tech @evankirstel @haroldsinnott 

https://t.co/annhm…",1
